Sample ID,X,Y
TCGA-06-2557-01,-6.718331266,3.559687815
TCGA-06-2558-01,-0.22349655,14.92546318
TCGA-06-2559-01,-2.480940495,8.573066641
TCGA-06-2566-01,-8.995117636,4.365653824
TCGA-06-2567-01,-7.178337079,4.343578147
TCGA-06-5408-01,-12.08461992,4.443082381
TCGA-06-5410-01,-11.72838626,7.664927154
TCGA-06-5411-01,-5.874331813,18.1161762
TCGA-06-5412-01,-12.22967591,7.637125543
TCGA-06-5418-01,7.449698769,-5.074677604
TCGA-06-5856-01,-11.61615772,9.795540075
TCGA-06-6391-01,-9.904814598,1.710802748
TCGA-08-0244-01,0.909433306,9.490039402
TCGA-08-0245-01,6.609795354,3.677393485
TCGA-08-0246-01,-5.396825043,10.08551522
TCGA-08-0344-01,10.35281749,4.972804209
TCGA-08-0345-01,-2.150333122,1.030764207
TCGA-08-0346-01,-3.1873193,1.184807124
TCGA-08-0347-01,-2.369828444,1.290910146
TCGA-08-0348-01,5.410759866,0.48387282
TCGA-08-0349-01,-2.549600656,3.332630303
TCGA-08-0350-01,5.598210929,-1.518838909
TCGA-08-0351-01,11.17654008,3.671139405
TCGA-08-0352-01,-2.692004079,0.064071094
TCGA-08-0353-01,1.845856596,3.613326843
TCGA-08-0354-01,0.534242631,6.723321681
TCGA-08-0355-01,2.968137443,-3.054223618
TCGA-08-0356-01,-5.690495657,10.05924772
TCGA-08-0357-01,-2.007843086,3.185963176
TCGA-08-0358-01,7.135865568,-6.434366398
TCGA-08-0359-01,4.988806647,-0.4655049
TCGA-08-0360-01,-1.887130844,-1.235646996
TCGA-08-0373-01,3.812205319,-1.956470564
TCGA-08-0375-01,-1.594017593,3.458940686
TCGA-08-0380-01,2.708280462,-0.805594271
TCGA-08-0385-01,9.758270981,3.988238233
TCGA-08-0386-01,-2.69353214,3.222954015
TCGA-08-0389-01,5.4248881,-0.990438289
TCGA-08-0390-01,4.964063523,10.37661502
TCGA-08-0392-01,5.903594387,12.89048281
TCGA-08-0509-01,-8.12017356,8.630060282
TCGA-08-0510-01,-7.898599109,10.85717686
TCGA-08-0511-01,-6.387599768,11.14409235
TCGA-08-0512-01,-9.172521428,8.949992968
TCGA-08-0514-01,-6.009283332,12.99426118
TCGA-08-0516-01,3.831951662,-0.244145951
TCGA-08-0517-01,-9.854979117,12.23239971
TCGA-08-0518-01,-5.683468345,11.43483857
TCGA-08-0520-01,2.534104873,9.89968025
TCGA-08-0521-01,-6.957562039,10.64542038
TCGA-08-0522-01,6.084859101,14.31927881
TCGA-08-0524-01,8.857764801,7.454936411
TCGA-08-0525-01,-5.527670078,12.28858687
TCGA-08-0529-01,0.826496946,6.243267762
TCGA-08-0531-01,-4.08759899,11.58714959
TCGA-12-0616-01,6.062118727,4.388532713
TCGA-12-0618-01,6.254966207,1.396849839
TCGA-12-0619-01,-0.505189699,-0.052660061
TCGA-12-0620-01,-1.441282337,-0.520907457
TCGA-12-0654-01,2.427125144,-6.146656664
TCGA-12-0656-01,2.996072,-6.919985676
TCGA-12-0657-01,-3.942304822,-7.295053851
TCGA-12-0670-01,-0.821623764,13.2228051
TCGA-12-0688-01,-0.144336928,9.47721741
TCGA-12-0692-01,4.985284046,-4.594572505
TCGA-12-0703-01,3.000150283,-6.867710897
TCGA-12-0707-01,0.282700146,9.146640567
TCGA-12-0772-01,0.021995555,-1.458849648
TCGA-12-0773-01,0.048967318,9.957036248
TCGA-12-0775-01,0.366111166,-2.16387695
TCGA-12-0776-01,-7.164571465,8.377989219
TCGA-12-0778-01,0.217236981,-1.620614609
TCGA-12-0780-01,3.377317035,-6.921305322
TCGA-12-0818-01,12.31842881,4.308728967
TCGA-12-0819-01,-1.069402929,13.08799354
TCGA-12-0820-01,-2.162271057,4.33221578
TCGA-12-0821-01,-0.390816973,11.8767638
TCGA-12-0822-01,-2.108039379,14.10544859
TCGA-12-0826-01,-1.18410764,13.16439196
TCGA-12-0827-01,-6.514073362,-4.803960199
TCGA-12-0828-01,-0.101214667,11.84321719
TCGA-12-0829-01,-6.503395364,-4.73284275
TCGA-12-1088-01,-1.046280566,-3.497660023
TCGA-12-1089-01,1.856711462,-4.908754688
TCGA-12-1090-01,1.582131503,-0.47436233
TCGA-12-1091-01,-5.670565172,-2.550192087
TCGA-12-1092-01,-5.443564668,8.218142276
TCGA-12-1093-01,-1.345300182,-5.856828823
TCGA-12-1094-01,-2.747775511,-2.647306704
TCGA-12-1095-01,-0.78270206,-3.929666929
TCGA-12-1096-01,0.132955511,-3.037806875
TCGA-12-1097-01,-1.946997719,-4.592771694
TCGA-12-1098-01,2.888668171,7.380135709
TCGA-12-1099-01,7.468069875,0.980995687
TCGA-12-1597-01,0.060178416,14.22514683
TCGA-12-1598-01,0.243849644,3.740718048
TCGA-12-1599-01,2.005672375,-2.21969274
TCGA-12-1600-01,2.388023667,4.758838596
TCGA-12-1602-01,5.366690968,3.555283108
TCGA-12-3644-01,-2.538518308,16.11095715
TCGA-12-3646-01,-1.094486761,15.21658856
TCGA-12-3648-01,-7.603691063,-2.778491483
TCGA-12-3649-01,-4.905953096,16.66743375
TCGA-12-3650-01,-4.278393999,16.14401235
TCGA-12-3651-01,-4.788478585,17.66765567
TCGA-12-3652-01,-4.221110893,16.22784674
TCGA-12-3653-01,-6.765476957,15.96114499
TCGA-12-5295-01,3.456786991,3.114778798
TCGA-12-5299-01,3.578490297,1.419162901
TCGA-12-5301-01,1.473952544,10.10859161
TCGA-14-0736-01,-0.573825177,-5.186984959
TCGA-14-0781-01,-12.30324915,6.144103069
TCGA-14-0783-01,-2.832507677,15.09736523
TCGA-14-0786-01,-5.453240146,-2.145765058
TCGA-14-0787-01,-4.114941433,3.785155147
TCGA-14-0789-01,-6.701710647,5.750175547
TCGA-14-0790-01,1.012695018,7.842078449
TCGA-14-0812-01,3.018043484,-1.489148286
TCGA-14-0813-01,-4.583617604,-5.056062583
TCGA-14-0817-01,-2.511047559,15.17772269
TCGA-14-0865-01,0.888077208,15.20510588
TCGA-14-0866-01,3.046447666,5.193638067
TCGA-14-0867-01,-5.731355119,5.460342194
TCGA-14-0871-01,9.156795629,11.26041785
TCGA-14-1034-01,-3.73355737,-2.71423889
TCGA-14-1037-01,1.002117987,-1.700803721
TCGA-14-1396-01,-1.628369041,-6.301414468
TCGA-14-1401-01,1.33546954,-4.581841544
TCGA-14-1402-01,2.67550706,5.946733984
TCGA-14-1451-01,-3.344197066,-4.892334683
TCGA-14-1452-01,-3.346155665,-2.352967949
TCGA-14-1453-01,-0.625924096,8.20451449
TCGA-14-1454-01,8.135841787,1.863026701
TCGA-14-1455-01,4.870416642,3.74826813
TCGA-14-1458-01,10.46162522,2.444123134
TCGA-14-1459-01,-0.058819691,11.39993708
TCGA-14-1794-01,4.631755757,-2.655153531
TCGA-14-1795-01,6.274041974,-0.493576697
TCGA-14-1821-01,9.709070159,5.029642559
TCGA-14-1823-01,4.437984519,2.459035509
TCGA-14-1825-01,2.184603092,15.34980221
TCGA-14-1827-01,1.258022184,11.00420523
TCGA-14-2554-01,-2.729419247,12.72991886
TCGA-14-3476-01,4.746338156,7.412993686
TCGA-15-0742-01,-1.069137459,3.785810711
TCGA-15-1449-01,8.172965503,1.487095892
TCGA-16-0846-01,0.860982421,-5.870692795
TCGA-16-0848-01,-5.181302445,-4.431065536
TCGA-16-0850-01,8.63694119,5.401313352
TCGA-16-1045-01,-0.539031174,-4.370789019
TCGA-16-1047-01,-2.754155255,-3.976523201
TCGA-16-1055-01,-2.381180281,-3.41969554
TCGA-16-1056-01,1.257129311,-4.766658004
TCGA-16-1060-01,0.328457511,-2.896253146
TCGA-16-1062-01,-5.443258663,-2.278582661
TCGA-16-1063-01,-0.721788089,7.584249298
TCGA-19-0957-01,5.261610235,-2.718484838
TCGA-19-0962-01,-1.955260109,-4.250929703
TCGA-19-0963-01,0.293489925,-4.932852712
TCGA-19-1385-01,1.304451973,-2.802242049
TCGA-19-1386-01,2.97814534,-4.2477193
TCGA-19-1388-01,6.217286258,-2.320275857
TCGA-19-1389-01,0.949528411,-2.713853443
TCGA-19-1390-01,1.137429879,18.11772793
TCGA-19-1392-01,-0.32788909,16.64327618
TCGA-19-1787-01,-9.127475432,13.97589932
TCGA-19-1788-01,6.270753067,-3.508297531
TCGA-19-1789-01,6.178591072,-7.213962564
TCGA-19-1790-01,-4.405147103,-0.925238056
TCGA-19-2620-01,-9.343399162,3.759028296
TCGA-19-2621-01,-7.906290387,2.72908466
TCGA-19-2624-01,0.584608761,-6.876793365
